Rank,Site URL,token vul,secret vul,signed_request vul,referrer vul,DOM vul
355,http://www.myrecipes.com,1,1,1,1,1
364,http://www.stylebistro.com,-1,1,-1,1,1
365,http://www.cafepress.com,-1,1,-1,1,1
367,http://www.zulily.com,1,1,1,1,1
368,http://www.apartmenttherapy.com,1,1,1,1,1
370,http://www.realtor.com,10,10,10,10,10
371,http://www.thekitchn.com,1,1,1,1,1
374,http://www.dictionary.com,1,1,1,1,1
375,http://www.funnyordie.com,-1,1,-1,1,1
378,http://www.bright.com,12,12,12,12,12
382,http://www.doctoroz.com,1,1,1,1,1
383,http://www.indiatimes.com,1,1,1,1,1
400,http://www.hotels.com,1,1,1,1,1
403,http://www.meetme.com,1,1,1,1,1
407,http://www.meetup.com,1,1,1,1,1
413,http://www.citysearch.com,1,1,1,1,1
416,http://www.ranker.com,1,1,1,1,1
417,http://www.mlive.com,1,1,1,1,1
418,http://www.biography.com,1,1,1,1,1
438,http://www.boston.com,3,1,3,1,1
440,http://www.tv.com,-1,1,-1,1,1
441,http://www.ovguide.com,1,1,1,1,1
442,http://www.zynga.com,22,1,22,1,1
443,http://www.comedycentral.com,1,1,1,1,1
448,http://www.hgtv.com,-1,1,-1,1,1
452,http://www.popsugar.com,-1,1,-1,1,1
453,http://www.redorbit.com,1,1,1,1,1
454,http://www.ford.com,14,14,14,14,14
461,http://www.bluemountain.com,14,14,14,14,14
464,http://www.doodle.com,1,1,1,1,1
472,http://www.fullsail.edu,14,14,14,14,14
476,http://www.imageshack.us,-1,1,-1,1,1
483,http://www.tunein.com,23,1,23,1,1
484,http://www.sidereel.com,1,1,1,1,1
496,http://www.al.com,1,1,1,1,1
501,http://www.mycokerewards.com,11,1,11,1,1
504,http://www.justfab.com,12,1,12,1,1
505,http://www.doityourself.com,1,1,1,1,1
509,http://www.nfl.com,1,1,1,1,1
510,http://www.policymic.com,1,1,1,1,1
512,http://www.mashable.com,1,1,1,1,1
515,http://www.eatingwell.com,1,1,1,1,1
520,http://www.hitfix.com,1,1,1,1,1
521,http://www.smarter.com,1,1,1,1,1
522,http://www.nascar.com,1,1,1,1,1
525,http://www.superuser.com,1,1,1,1,1
532,http://www.123rf.com,1,1,1,1,1
534,http://www.stltoday.com,11,1,11,-1,-1
535,http://www.nhl.com,1,1,1,1,1
537,http://www.hsn.com,1,1,1,1,1
542,http://www.ivillage.com,1,1,1,1,1
544,http://www.kayak.com,1,1,-1,1,1
545,http://www.salsalabs.com,1,1,1,1,1
556,http://www.ebaumsworld.com,22,1,22,1,1
564,http://www.businessinsider.com,1,1,-1,1,1
571,http://www.cleveland.com,1,1,1,1,1
584,http://www.iplay.com,1,1,1,1,1
587,http://www.bradsdeals.com,-1,1,-1,1,1
592,http://www.celebuzz.com,-1,1,-1,1,1
594,http://www.vrbo.com,-1,1,-1,1,1
596,http://www.findthebest.com,-1,1,-1,1,1
603,http://www.ioffer.com,1,1,1,1,1
607,http://www.answerbag.com,1,1,1,1,1
616,http://www.ftd.com,-1,1,-1,1,1
621,http://www.imvu.com,1,1,1,1,1
624,http://www.jalopnik.com,1,1,1,1,1
628,http://www.lolspots.com,10,10,10,10,10
631,http://www.soft32.com,1,1,1,1,1
635,http://www.snapfish.com,10,10,10,10,10
637,http://www.buzznet.com,22,1,22,1,1
639,http://www.bostonherald.com,14,14,14,14,14
642,http://www.tributes.com,1,1,1,1,1
649,http://www.philly.com,12,1,12,1,1
653,http://www.hallmark.com,1,1,1,1,-1
661,http://www.weddingwire.com,1,1,-1,1,1
663,http://www.reverbnation.com,22,1,22,1,1
670,http://www.starbucks.com,1,1,1,1,1
671,http://www.ajc.com,1,1,1,1,1
675,http://www.shopstyle.com,-1,1,-1,1,1
685,http://www.cbc.ca,20,1,20,1,1
687,http://www.ultimate-guitar.com,1,1,1,1,1
705,http://www.fodors.com,1,1,1,1,-1
712,http://www.spotify.com,10,10,10,10,10
716,http://www.economist.com,1,1,1,1,1
720,http://www.cargurus.com,-1,1,1,-1,1
747,http://www.filestube.com,14,14,14,14,14
750,http://www.allmusic.com,1,1,1,1,1
774,http://www.homeaway.com,-1,1,-1,1,1
778,http://www.bravotv.com,1,1,1,1,1
781,http://www.newser.com,12,1,12,1,1
786,http://www.howaboutwe.com,3,1,3,1,1
793,http://www.independentlivingnews.com,1,1,1,1,1
798,http://www.expotv.com,1,1,-1,1,1
800,http://www.education.com,1,1,1,1,1
805,http://www.popularmechanics.com,1,1,1,1,1
808,http://www.redfin.com,1,1,-1,1,1
809,http://www.mrmovietimes.com,2,2,2,2,2
812,http://www.gamezone.com,1,1,1,1,1
815,http://www.active.com,1,1,1,1,1
817,http://www.madmimi.com,1,1,1,-1,1
819,http://www.gsmarena.com,1,1,1,1,1
822,http://www.smosh.com,1,1,1,1,1
828,http://www.wiredforchange.com,1,1,1,1,1
831,http://www.coupons.com,-1,1,-1,1,1
833,http://www.sparkpeople.com,11,1,11,1,1
840,http://www.yousendit.com,1,1,1,-1,1
843,http://www.news.com,1,1,1,1,1
844,http://www.zdnet.com,1,1,1,1,1
851,http://www.someecards.com,1,1,1,1,1
853,http://www.become.com,1,1,1,1,1
854,http://www.arcadeweb.com,15,1,15,1,1
856,http://www.wonderhowto.com,1,1,1,1,1
857,http://www.myvoicenation.com,1,1,1,-1,1
866,http://www.polygon.com,1,1,1,1,1
867,http://www.sharecare.com,22,1,22,1,1
869,http://www.change.org,1,1,1,1,1
875,http://www.bufferapp.com,1,1,1,1,1
884,http://www.jossandmain.com,-1,1,-1,1,1
888,http://www.radaris.com,1,1,1,1,1
892,http://www.thegrio.com,10,10,10,10,10
898,http://www.nbclosangeles.com,1,1,1,1,1
900,http://www.tiqiq.com,-1,1,-1,1,1
902,http://www.popularscreensavers.com,-1,1,-1,1,1
906,http://www.manualsonline.com,1,1,1,1,1
918,http://www.crackle.com,-1,1,-1,1,1
921,http://www.trimdownclub.com,10,10,10,10,10
924,http://www.msedge.net,1,1,1,1,1
929,http://www.icontact.com,1,1,1,1,1
947,http://www.shopyourway.com,1,1,1,1,1
949,http://www.homeadvisor.com,1,1,1,1,1
959,http://www.storify.com,11,1,11,1,1
960,http://www.corporationwiki.com,1,1,1,1,1
962,http://www.motortrend.com,1,1,1,1,1
963,http://www.wanttt.com,1,1,1,1,1
965,http://www.lumosity.com,1,1,1,1,1
975,http://www.maxpreps.com,1,1,1,1,1
979,http://www.ted.com,1,1,1,1,1
980,http://www.ymail.com,1,1,1,1,1
982,http://www.dermstore.com,1,1,1,1,1
996,http://www.coupons.net,-1,1,-1,1,1
1001,http://www.seniorfriendfinder.com,23,1,23,1,1
1003,http://www.academia.edu,13,1,13,1,1
1004,http://www.foxsports.com,1,1,1,1,1
1011,http://www.sellebrity.com,14,14,14,14,14
1014,http://www.baby-gaga.com,24,1,24,1,1
1023,http://www.saturday.com,1,1,1,1,1
1026,http://www.democrats.org,1,1,1,1,1
1028,http://www.imore.com,1,1,1,1,1
1031,http://www.medhelp.org,10,10,10,10,10
1032,http://www.alexa.com,1,1,1,1,1
1033,http://www.sun-sentinel.com,1,1,1,1,1
1034,http://www.apartmentguide.com,1,1,1,1,1
1036,http://www.refinery29.com,1,1,1,1,1
1037,http://www.asus.com,1,1,1,1,1
1042,http://www.justin.tv,11,1,11,1,1
1055,http://www.c-spanarchives.org,1,1,1,-1,1
1056,http://www.techspot.com,1,1,1,1,1
1058,http://www.avclub.com,23,1,23,1,1
1063,http://www.davesgarden.com,12,1,12,1,1
1064,http://www.wwe.com,24,1,24,1,1
1068,http://www.circleofmoms.com,1,1,1,1,1
1096,http://www.godtube.com,1,1,1,1,1
1112,http://www.aliexpress.com,1,1,1,1,1
1121,http://www.lonny.com,-1,1,-1,1,1
1127,http://www.globalpost.com,1,1,1,1,1
1134,http://www.clipix.com,1,1,1,1,1
1137,http://www.woobox.com,1,1,1,1,1
1140,http://www.movoto.com,16,1,16,1,1
1145,http://www.pissedconsumer.com,1,1,1,1,1
1165,http://www.easybib.com,16,1,16,1,1
