Site URL,token vul,secret vul,signed_request vul,referrer vul,DOM vul
http://www.meetme.com,1,1,1,1,1
http://www.meetup.com,1,1,1,1,1
http://www.citysearch.com,1,1,1,1,1
http://www.ranker.com,1,1,1,1,1
http://www.mlive.com,1,1,1,1,1
http://www.biography.com,1,1,1,1,1
http://www.boston.com,3,1,3,1,1
http://www.tv.com,-1,1,-1,1,1
http://www.ovguide.com,1,1,1,1,1
http://www.zynga.com,22,1,22,1,1
http://www.comedycentral.com,1,1,1,1,1
http://www.hgtv.com,-1,1,-1,1,1
http://www.popsugar.com,-1,1,-1,1,1
http://www.redorbit.com,1,1,1,1,1
http://www.ford.com,14,14,14,14,14
http://www.bluemountain.com,14,14,14,14,14
http://www.doodle.com,1,1,1,1,1
http://www.fullsail.edu,14,14,14,14,14
http://www.imageshack.us,-1,1,-1,1,1
http://www.tunein.com,23,1,23,1,1
http://www.sidereel.com,1,1,1,1,1
http://www.al.com,1,1,1,1,1
http://www.mycokerewards.com,11,1,11,1,1
http://www.justfab.com,12,1,12,1,1
http://www.doityourself.com,1,1,1,1,1
http://www.nfl.com,1,1,1,1,1
http://www.policymic.com,1,1,1,1,1
http://www.mashable.com,1,1,1,1,1
http://www.eatingwell.com,1,1,1,1,1
http://www.hitfix.com,1,1,1,1,1
http://www.smarter.com,1,1,1,1,1
http://www.nascar.com,1,1,1,1,1
http://www.superuser.com,1,1,1,1,1
http://www.123rf.com,1,1,1,1,1
http://www.stltoday.com,11,1,11,-1,-1
http://www.nhl.com,1,1,1,1,1
http://www.hsn.com,1,1,1,1,1
http://www.ivillage.com,1,1,1,1,1
http://www.kayak.com,1,1,-1,1,1
http://www.salsalabs.com,1,1,1,1,1
http://www.ebaumsworld.com,22,1,22,1,1
http://www.businessinsider.com,1,1,-1,1,1
http://www.cleveland.com,1,1,1,1,1
http://www.iplay.com,1,1,1,1,1
http://www.celebuzz.com,-1,1,-1,1,1
http://www.vrbo.com,-1,1,-1,1,1
http://www.findthebest.com,-1,1,-1,1,1
http://www.ioffer.com,1,1,1,1,1
http://www.answerbag.com,1,1,1,1,1
http://www.ftd.com,-1,1,-1,1,1
http://www.imvu.com,1,1,1,1,1
http://www.jalopnik.com,1,1,1,1,1
http://www.lolspots.com,10,10,10,10,10
http://www.soft32.com,1,1,1,1,1
http://www.snapfish.com,10,10,10,10,10
http://www.bostonherald.com,14,14,14,14,14
http://www.tributes.com,1,1,1,1,1
http://www.philly.com,12,1,12,1,1
http://www.hallmark.com,1,1,1,1,-1
http://www.weddingwire.com,1,1,-1,1,1
http://www.reverbnation.com,22,1,22,1,1
http://www.starbucks.com,1,1,1,1,1
http://www.ajc.com,1,1,1,1,1
http://www.shopstyle.com,-1,1,-1,1,1
http://www.cbc.ca,20,1,20,1,1
http://www.ultimate-guitar.com,1,1,1,1,1
http://www.fodors.com,1,1,1,1,-1
http://www.spotify.com,10,10,10,10,10
http://www.economist.com,1,1,1,1,1
http://www.cargurus.com,-1,1,1,-1,1
http://www.filestube.com,14,14,14,14,14
http://www.allmusic.com,1,1,1,1,1
http://www.homeaway.com,-1,1,-1,1,1
http://www.bravotv.com,1,1,1,1,1
http://www.newser.com,12,1,12,1,1
http://www.howaboutwe.com,3,1,3,1,1
http://www.independentlivingnews.com,1,1,1,1,1
http://www.expotv.com,1,1,-1,1,1
http://www.education.com,1,1,1,1,1
http://www.popularmechanics.com,1,1,1,1,1
http://www.redfin.com,1,1,-1,1,1
http://www.gamezone.com,1,1,1,1,1
http://www.active.com,1,1,1,1,1
http://www.madmimi.com,1,1,1,-1,1
http://www.gsmarena.com,1,1,1,1,1
http://www.smosh.com,1,1,1,1,1
http://www.wiredforchange.com,1,1,1,1,1
http://www.coupons.com,-1,1,-1,1,1
http://www.sparkpeople.com,11,1,11,1,1
http://www.yousendit.com,1,1,1,-1,1
http://www.news.com,1,1,1,1,1
http://www.zdnet.com,1,1,1,1,1
http://www.someecards.com,1,1,1,1,1
http://www.become.com,1,1,1,1,1
http://www.arcadeweb.com,15,1,15,1,1
http://www.wonderhowto.com,1,1,1,1,1
http://www.myvoicenation.com,1,1,1,-1,1
http://www.polygon.com,1,1,1,1,1
http://www.sharecare.com,22,1,22,1,1
http://www.change.org,1,1,1,1,1
http://www.bufferapp.com,1,1,1,1,1
http://www.jossandmain.com,-1,1,-1,1,1
http://www.radaris.com,1,1,1,1,1
http://www.thegrio.com,3,1,3,1,1
http://www.nbclosangeles.com,1,1,1,1,1
http://www.tiqiq.com,-1,1,-1,1,1
http://www.popularscreensavers.com,-1,1,-1,1,1
http://www.manualsonline.com,1,1,1,1,1
http://www.crackle.com,-1,1,-1,1,1
http://www.msedge.net,1,1,1,1,1
http://www.icontact.com,1,1,1,1,1
http://www.shopyourway.com,1,1,1,1,1
http://www.homeadvisor.com,1,1,1,1,1
http://www.storify.com,11,1,11,1,1
http://www.corporationwiki.com,1,1,1,1,1
http://www.motortrend.com,1,1,1,1,1
http://www.wanttt.com,1,1,1,1,1
http://www.lumosity.com,1,1,1,1,1
http://www.maxpreps.com,1,1,1,1,1
http://www.ted.com,1,1,1,1,1
http://www.ymail.com,1,1,1,1,1
http://www.dermstore.com,1,1,1,1,1
http://www.coupons.net,-1,1,-1,1,1
http://www.seniorfriendfinder.com,3,1,3,1,1
http://www.academia.edu,13,1,13,1,1
http://www.foxsports.com,1,1,1,1,1
http://www.sellebrity.com,14,14,14,14,14
http://www.baby-gaga.com,24,1,24,1,1
http://www.saturday.com,1,1,1,1,1
http://www.democrats.org,1,1,1,1,1
http://www.imore.com,1,1,1,1,1
