Site,Reg,Clicks,Score1,VSr1,ISr1,VRr1,IRr1,FB1,Facebook1,OAuth1,login1,signin1,connect1,account1,forum1,Score2,VSr2,ISr2,VRr2,IRr2,FB2,Facebook2,OAuth2,login2,signin2,connect2,account2,forum2
http://www.sidereel.com,FALSE,1,13,0,0,0,0,0,3,0,0,0,2,0,0,,,,,,,,,,,,,
http://www.al.com,FALSE,2,13,-1,0,-1,0,2,1,0,0,2,0,0,0,49,0,0,0,0,0,4,0,1,0,0,0,0
http://www.mycokerewards.com,TRUE,1,11,0,1,0,1,1,1,0,1,0,0,0,0,,,,,,,,,,,,,
http://www.doityourself.com,TRUE,1,13,0,0,0,0,3,0,0,2,0,0,0,0,,,,,,,,,,,,,
http://www.nfl.com,FALSE,2,7,0,0,0,1,0,0,0,1,2,0,0,0,39,0,1,0,1,0,3,0,0,1,0,0,0
http://www.policymic.com,FALSE,2,8,0,0,0,0,0,0,0,4,0,0,0,0,41,0,0,0,0,0,3,0,1,0,2,0,0
http://www.mashable.com,FALSE,2,5,0,2,0,2,0,0,0,1,0,0,0,0,39,0,0,0,0,0,3,0,1,0,0,0,0
http://www.eatingwell.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.hitfix.com,TRUE,1,14,-1,0,-1,0,3,2,1,0,0,0,0,0,,,,,,,,,,,,,
http://www.smarter.com,FALSE,1,999,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
http://www.nascar.com,TRUE,2,6,1,2,1,2,0,0,0,2,0,0,0,0,50,0,0,0,0,0,4,0,0,0,2,0,0
http://www.superuser.com,TRUE,2,7,0,0,0,0,0,0,0,3,0,0,0,0,40,0,0,0,0,0,3,0,1,1,0,0,0
http://www.123rf.com,TRUE,2,6,0,0,0,0,0,0,0,2,0,0,0,0,20,0,1,0,1,1,1,0,0,0,0,0,0
http://www.stltoday.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.nhl.com,TRUE,1,14,0,0,0,0,1,3,0,2,0,0,0,0,,,,,,,,,,,,,
http://www.hsn.com,FALSE,2,9,0,0,0,0,0,0,0,0,5,0,2,0,20,0,2,0,2,0,2,0,0,0,0,0,0
http://www.ivillage.com,TRUE,2,5,-1,2,-1,0,0,0,0,0,1,0,3,0,40,0,1,0,1,0,3,0,2,0,0,0,0
http://www.kayak.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.salsalabs.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ebaumsworld.com,TRUE,2,5,0,0,0,1,0,0,0,1,0,0,0,0,30,0,0,0,0,0,2,0,1,0,1,0,0
http://www.businessinsider.com,FALSE,1,13,-1,0,-1,0,1,2,0,2,0,0,0,0,,,,,,,,,,,,,
http://www.cleveland.com,FALSE,2,13,-1,0,-1,0,2,1,0,0,2,0,0,0,49,0,0,0,0,0,4,0,1,0,0,0,0
http://www.iplay.com,TRUE,2,8,0,0,0,0,0,0,0,0,4,0,0,0,60,0,0,0,0,1,4,0,1,0,1,0,0
http://www.bradsdeals.com,FALSE,2,7,0,1,0,1,0,0,0,3,0,0,0,0,10,1,40,1,40,1,0,0,0,0,0,0,0
http://www.celebuzz.com,FALSE,1,12,-1,0,-1,0,2,1,0,1,0,0,0,0,,,,,,,,,,,,,
http://www.vrbo.com,TRUE,2,7,1,1,1,1,0,0,0,3,0,0,0,0,29,0,0,0,0,1,1,0,0,1,0,0,0
http://www.findthebest.com,FALSE,1,10,-1,0,-1,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,,
http://www.ioffer.com,TRUE,2,7,0,0,0,0,0,0,0,1,2,0,0,0,999,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA
http://www.answerbag.com,FALSE,1,13,0,1,0,1,1,2,0,2,0,0,1,0,,,,,,,,,,,,,
http://www.ftd.com,FALSE,2,21,-1,0,-1,0,6,0,0,0,7,0,0,0,39,0,0,0,0,3,0,0,0,1,0,0,0
http://www.imvu.com,FALSE,2,6,0,0,0,0,0,0,0,2,0,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0,0
http://www.jalopnik.com,FALSE,2,6,0,0,0,0,0,0,0,2,0,0,0,0,30,-1,1,-1,1,0,2,1,1,0,0,0,0
http://www.soft32.com,FALSE,1,17,0,0,0,0,0,5,0,0,1,3,1,0,,,,,,,,,,,,,
http://www.buzznet.com,TRUE,2,8,0,0,0,0,0,0,0,4,0,0,0,0,31,0,0,0,0,2,0,0,3,0,0,0,0
http://www.tributes.com,FALSE,2,6,0,0,0,0,0,0,0,2,0,0,1,0,999,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA
http://www.philly.com,TRUE,2,8,-1,0,-1,0,0,0,0,1,3,0,0,0,999,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA
http://www.hallmark.com,FALSE,1,12,-1,0,-1,0,0,2,0,2,0,0,0,0,,,,,,,,,,,,,
http://www.weddingwire.com,FALSE,2,8,0,1,0,1,0,0,0,4,0,0,0,0,19,2,2,3,5,0,1,0,1,0,0,0,0
http://www.reverbnation.com,TRUE,2,7,0,0,0,0,0,0,0,3,0,0,0,0,40,0,0,0,0,1,2,0,1,1,0,0,0
http://www.starbucks.com,FALSE,2,7,0,0,0,0,0,0,0,0,3,0,1,0,20,0,1,0,1,0,1,0,1,0,1,0,0
http://www.ajc.com,FALSE,2,14,-1,0,-1,0,0,0,0,0,10,0,0,0,10,-1,3,-1,3,0,1,0,0,0,0,0,0
http://www.shopstyle.com,FALSE,2,6,1,1,0,0,0,0,0,2,0,0,1,0,19,2,4,2,4,0,1,0,1,0,0,0,0
http://www.cbc.ca,FALSE,2,6,0,0,0,0,0,0,0,2,0,0,0,0,40,0,0,0,0,0,3,0,2,0,0,0,0
http://www.ultimate-guitar.com,FALSE,1,13,-1,0,-1,0,1,2,0,1,1,0,0,0,,,,,,,,,,,,,
http://www.fodors.com,FALSE,1,14,-1,0,-1,0,2,2,0,2,0,0,0,0,,,,,,,,,,,,,
